"",100,106,Mon 25 Jul 1966,British film actor
"",101,107,Sun 20 Jun 2004,"Writer, Editor"
"",102,108,Sun 13 Jun 2004,Businessman
"",103,109,Sun 30 May 2004,Stage and actor
"",104,110,Sun 09 May 2004,Poet
"",105,111,Sun 04 Apr 2004,Opera singer - soprano
"",106,112,Sun 29 Feb 2004,"Children's writer, Illustrator"
"",107,113,Sun 08 Feb 2004,Pioneer of the Hospice movement
"",108,114,Sun 04 Jan 2004,"Dot-com millionaire, Entrepreneur"
"",109,115,Sun 21 Dec 2003,Country rock singer
"",110,116,Sun 07 Dec 2003,"Novelist, Booker Prize winner"
"",111,117,Sun 05 Oct 2003,"Cookery writer, TV presenter"
"",112,118,Sun 06 Jul 2003,Novelist
"",112,119,Sat 27 Apr 1985,Novelist
"",113,41,Sun 01 Jun 2003,"Actor, Writer"
"",114,120,Sun 13 Apr 2003,"Novelist, Booker Prize winner"
"",115,121,Sun 30 Mar 2003,Four Weddings actor
"",116,122,Sun 16 Feb 2003,Artist
"",117,123,Sun 12 Jan 2003,X Files actor
"",118,124,Sun 29 Dec 2002,Crime writer
"",119,125,Sun 15 Dec 2002,Irish actor
"",119,106,Sat 28 May 1983,Irish actor
"",120,41,Fri 15 Nov 2002,Pianist
"",121,126,Sun 27 Oct 2002,Crime writer
"",121,127,Sat 20 Nov 1982,Crime writer
"",122,128,Sun 29 Sep 2002,Ballerina
"",122,129,Mon 22 Sep 1958,Prima ballerina
"",123,130,Sun 30 Jun 2002,Crime writer
"",124,131,Sun 23 Jun 2002,Writer
"",124,132,Sat 11 Aug 1979,Historian
"",125,133,Sun 16 Jun 2002,Travel writer
"",125,134,Sat 26 Mar 1983,"Writer, Journalist"
"",126,135,Sun 26 May 2002,Actor
"",127,136,Sun 05 May 2002,Theatre director
"",128,137,Sun 28 Apr 2002,Fashion designer
"",129,138,Sun 07 Apr 2002,Director General of the National Trust
"",130,139,Sun 24 Mar 2002,"Writer, Psychologist"
"",131,140,Sun 17 Mar 2002,Landscape Photographer
"",132,141,Sun 10 Mar 2002,Ballerina
"",132,142,Mon 10 Mar 1958,Prima ballerina
"",133,143,Sun 24 Feb 2002,Broadcaster
"",134,144,Sun 27 Jan 2002,Pianist
"",135,145,Sun 13 Jan 2002,Horticulturalist
"",136,146,Sun 16 Dec 2001,"Children's Laureate, Author of Madame Doubtfire"
"",137,147,Sun 29 Jul 2001,Cookery writer
"",138,148,Sun 08 Jul 2001,"Folk singer, Songwriter"
"",139,149,Sun 06 May 2001,Novelist
"",139,55,Mon 06 May 1968,"Writer, Novelist"
"",140,150,Sun 29 Apr 2001,Violinist
"",141,151,Sun 08 Apr 2001,"Paralympian , Athlete, Olympic gold medal winner"
"",142,152,Sun 25 Mar 2001,"Children's writer, Illustrator"
"",143,153,Sun 21 Jan 2001,Cookery writer
"",144,154,Sun 24 Dec 2000,Astrophysicist
"",145,155,Sun 03 Dec 2000,"Editor of Talk magazine, Journalist"
"",146,156,Sun 05 Nov 2000,"Creator of Harry Potter, Children's writer"
"",147,157,Sun 21 May 2000,"Wife of the former Prime Minister, Writer"
"",148,158,Sun 14 May 2000,Hollywood film star
"",149,159,Sun 09 Apr 2000,"Biographer, Journalist"
"",150,160,Sun 27 Feb 2000,"Actor, Director"
"",150,161,Mon 03 May 1965,British actor
"",151,146,Sun 09 Jan 2000,"Primatologist, Naturalist"
"",152,162,Sun 21 Nov 1999,TV chef
"",153,163,Sun 22 Aug 1999,Poet
"",154,164,Sun 08 Aug 1999,Keeping Up Appearances Actor
"",154,165,Sat 20 Apr 1974,"Actor, Singer"
"",155,166,Sun 27 Jun 1999,"Shadow Home Secretary, Politician - Conservative"
"",156,167,Sun 02 May 1999,"Scientist, Campaigner, Psychotherapist"
"",157,168,Sun 28 Mar 1999,Oscar winning actor
"",158,169,Sun 21 Mar 1999,"Northern Ireland Secretary, Politician - Labour"
"",159,81,Sun 21 Feb 1999,Opera singer - soprano and mezzo-soprano
"",160,170,Sun 14 Feb 1999,Poet
"",161,171,Sun 24 Jan 1999,"Novelist, Screenwriter"
"",162,172,Sun 10 Jan 1999,War correspondent
"",163,173,Sun 29 Nov 1998,British actor
"",164,174,Sun 15 Nov 1998,Hollywood film star
"",165,175,Sun 30 Aug 1998,"Playwright, Screenwriter"
"",166,176,Sun 05 Jul 1998,"Journalist, Novelist"
"",167,177,Sun 03 May 1998,Psychologist
"",168,178,Sun 12 Apr 1998,British actor
"",168,179,Sat 17 Jun 1972,British actor
"",169,180,Sun 29 Mar 1998,Novelist
"",170,181,Sun 25 Jan 1998,Human rights lawyer
"",171,47,Sun 28 Dec 1997,"Transport Minister, Politician - Labour, Actress"
"",172,146,Sun 07 Dec 1997,Artist
"",173,182,Sun 23 Nov 1997,Theatre producer
"",174,183,Sun 12 Oct 1997,Novelist
"",175,184,Sun 14 Sep 1997,"Editor, Publisher"
"",176,129,Sun 31 Aug 1997,Jazz singer
"",176,129,Mon 14 Apr 1958,Jazz singer
"",177,185,Sun 15 Jun 1997,Children's campaigner
"",178,186,Sun 01 Jun 1997,Concert pianist
"",179,30,Sun 25 May 1997,British actor
"",179,187,Sat 03 Nov 1979,British actor
"",180,188,Sun 30 Mar 1997,"Journalist, Agony Aunt"
"",181,189,Sun 16 Mar 1997,Interior designer
"",182,190,Sun 02 Mar 1997,Neuroscientist
"",183,191,Sun 26 Jan 1997,Brain of Britain radio personality
"",183,192,Sat 16 Jun 1979,"Brain Of Britain, Broadcaster, Radio personality"
"",184,193,Sun 22 Dec 1996,"Comedian, Actor"
"",185,194,Sun 17 Nov 1996,"Athlete, Olympic gold medal winner"
"",186,195,Sun 27 Oct 1996,"Writer, Wine connoisseur"
"",187,196,Sun 13 Oct 1996,Novelist
"",187,197,Sat 08 Nov 1975,Children's writer
"",188,198,Sun 22 Sep 1996,"Poet, Lyricist"
"",189,199,Sun 25 Aug 1996,"Cellist in the Women's Orchestra at Auschwitz, Musician, Cellist"
"",190,200,Sun 09 Jun 1996,British actor
"",190,201,Mon 04 Nov 1968,British character actor
"",191,202,Sun 02 Jun 1996,Businessman
"",192,203,Sun 19 May 1996,Business
"",193,204,Sun 05 May 1996,Birds of a Feather actor
"",194,81,Sun 28 Apr 1996,Pianist
"",195,205,Sun 24 Mar 1996,Opera singer - soprano
"",196,206,Sun 11 Feb 1996,Novelist
"",196,207,Sat 08 Jun 1974,Novelist
"",197,208,Sun 04 Feb 1996,"Journalist, Photographer"
"",198,209,Sun 21 Jan 1996,Silent movie star
"",199,210,Sun 31 Dec 1995,"Wife of Norman Tebbit, Public figure"
"",200,211,Sun 24 Dec 1995,"Actor, Singer"
"",200,81,Sat 20 Feb 1982,"Actor, Singer"
"",200,7,Wed 02 May 1951,Singer
"",201,212,Sun 17 Dec 1995,"Actor, Singer"
"",202,213,Sun 03 Dec 1995,British actor
"",203,214,Sun 05 Nov 1995,"Secretary of State for Education and Employment, Politician - Conservative"
"",204,81,Sun 29 Oct 1995,Novelist
"",204,106,Sat 29 Apr 1972,Novelist
"",205,215,Sun 01 Oct 1995,Racehorse trainer
"",206,216,Sun 09 Jul 1995,Eastenders actor
"",207,217,Sun 28 May 1995,"Actor, Singer, Songwriter"
"",208,218,Sun 02 Apr 1995,Novelist
"",209,219,Sun 08 Jan 1995,British actor
"",210,220,Sun 18 Dec 1994,"Horticulturalist, Garden designer"
"",211,221,Sun 04 Dec 1994,"Novelist, Biographer"
"",212,222,Sun 20 Nov 1994,Politician - Labour
"",213,223,Sun 30 Oct 1994,"Illustrator, Children's writer"
"",214,224,Sun 23 Oct 1994,Screenwriter
"",215,225,Sun 09 Oct 1994,"Novelist, Whitbread Prize winner"
"",216,226,Sun 25 Sep 1994,"Campaigner, Columnist, Feminist"
"",217,227,Sun 11 Sep 1994,Novelist
"",218,228,Sun 12 Jun 1994,American-British actor
"",219,229,Sun 22 May 1994,Film actor
"",220,230,Sun 15 May 1994,BBC Correspondent
"",221,30,Sun 06 Mar 1994,Explorer
"",222,231,Sun 27 Feb 1994,Bloomsbury writer
"",223,232,Sun 13 Feb 1994,Horticulturalist
"",224,30,Sun 30 Jan 1994,"Founder of Hospice, Campaigner, Doctor"
"",225,233,Sun 21 Nov 1993,Novelist
"",226,234,Sun 14 Nov 1993,British actor
"",227,235,Sun 07 Nov 1993,Novelist
"",228,236,Sun 10 Oct 1993,Opera singer - soprano
"",229,237,Sun 03 Oct 1993,"Health Secretary, Politician - Conservative"
"",230,238,Sun 12 Sep 1993,Novelist
"",231,239,Sun 20 Jun 1993,"Campaigner, Singer, Songwriter"
"",232,240,Sun 13 Jun 1993,"Speaker of the House of Commons, Politician - Labour"
"",233,241,Sun 30 May 1993,Publisher
"",234,242,Sun 16 May 1993,General of the Salvation Army
"",235,243,Sun 25 Apr 1993,"Academic, Politician - Labour"
"",236,244,Sun 24 Jan 1993,Percussionist
"",237,245,Sun 17 Jan 1993,"Writer, Cyclist"
"",238,246,Sun 10 Jan 1993,"Director of Public Prosecutions, Lawyer"
"",239,247,Sun 03 Jan 1993,Poet
"",240,248,Sun 06 Dec 1992,"Publisher, Writer, Critic"
"",241,249,Sun 08 Nov 1992,Writer
"",242,81,Sun 18 Oct 1992,Oscar winning actor and singer
"",242,81,Mon 03 Feb 1964,Oscar winning actor
"",243,250,Sun 04 Oct 1992,British actor
"",244,90,Sun 13 Sep 1992,"Psychologist, Writer, Child expert"
"",245,81,Sun 05 Jul 1992,Politician - Labour
"",246,251,Sun 28 Jun 1992,Fashion designer
"",247,252,Sun 31 May 1992,Fawlty Towers actor
"",248,253,Sun 03 May 1992,"Horse breeder, Landowner"
"",249,254,Sun 22 Mar 1992,"Author, Historian"
"",250,255,Sun 08 Dec 1991,Adrian Mole author
"",251,256,Sun 24 Nov 1991,Film critic
"",251,238,Mon 21 Jan 1957,"Film critic, Writer"
"",252,257,Sun 20 Oct 1991,Director of the V  A
"",253,258,Sun 08 Sep 1991,Booker prize winning novelist
"",254,259,Sun 16 Jun 1991,"Novelist , Critic"
"",255,260,Sun 28 Apr 1991,"Former leader of Westminster City Council, Politician - Conservative"
"",256,261,Sun 24 Mar 1991,"Actor, Musician"
"",256,262,Sat 10 Nov 1979,"Actor, Musician, Comedian"
"",257,263,Sun 17 Feb 1991,Ballet mistress
"",257,106,Mon 04 Jul 1966,Prima ballerina
"",258,264,Sun 13 Jan 1991,Jazz singer
"",258,265,Sat 02 Dec 1972,"Actor, Jazz singer"
"",259,266,Sun 25 Nov 1990,"Politician - Conservative, Campaigner"
"",260,267,Sun 18 Nov 1990,Singer
"",260,7,Tue 26 Feb 1952,"Actor, Singer"
"",261,268,Sun 11 Nov 1990,"Former Transport Minister, Politician - Labour"
"",262,269,Sun 23 Sep 1990,Actor
"",262,270,Sat 13 Jun 1970,Carry on actor
"",263,271,Sun 16 Sep 1990,"Academic, Sex therapist , Broadcaster"
"",264,272,Sun 09 Sep 1990,Former Private Secretary to the Queen
"",265,273,Sun 15 Jul 1990,"Journalist, Columnist"
"",266,274,Sun 10 Jun 1990,"Writer, Novelist"
"",267,275,Sun 13 May 1990,Writer
"",268,276,Sun 06 May 1990,"Chef, Businessman, Restaurateur"
"",269,277,Sun 29 Apr 1990,British comedy actor
"",269,278,Sat 18 Aug 1973,British comedy actor
"",270,279,Sun 22 Apr 1990,Novelist
"",271,183,Sun 04 Feb 1990,British actor
"",272,280,Sun 24 Dec 1989,Member of the Royal Family
"",273,281,Sun 17 Dec 1989,Shirley Valentine actor
"",274,282,Sun 26 Nov 1989,"Mitford sister, married to Sir Oswald Mosley"
"",275,183,Sun 01 Oct 1989,Photographer
"",276,283,Sun 17 Sep 1989,Booker prize winning novelist
"",277,284,Sun 03 Sep 1989,Forces sweetheart singer
"",277,285,Tue 18 Dec 1951,Forces singer
"",278,286,Sun 25 Jun 1989,Dynasty actor
"",278,215,Mon 27 Nov 1961,Hollywood film star
"",279,287,Sun 18 Jun 1989,"Actor, Writer"
"",280,288,Sun 21 May 1989,Fashion designer
"",281,289,Sun 14 May 1989,British character actor
"",281,290,Mon 15 Jul 1968,British actor
"",282,291,Sun 30 Apr 1989,Actor
"",283,292,Sun 23 Apr 1989,"Conservationist, Biologist"
"",284,293,Sun 05 Mar 1989,Gynaecologist
"",285,294,Sun 29 Jan 1989,"Singer, Songwriter"
"",286,295,Sun 08 Jan 1989,"Model, Singer , Actor"
"",287,30,Sun 04 Dec 1988,Philosopher
"",288,296,Sun 30 Oct 1988,"Academic, Campaigner, Writer"
"",289,297,Sun 16 Oct 1988,"Presenter, Singer"
"",289,298,Mon 24 Aug 1964,"Singer, TV Presenter"
"",290,291,Sun 02 Oct 1988,Actor
"",290,299,Mon 30 Apr 1956,British actor
"",291,300,Sun 28 Aug 1988,Eastenders actor
"",292,194,Sun 14 Aug 1988,Oscar winning actor
"",293,301,Sun 31 Jul 1988,Comedian
"",294,302,Sun 17 Jul 1988,Comedian
"",295,303,Sun 19 Jun 1988,British actor
"",295,304,Mon 08 Oct 1962,Actor
"",296,305,Sun 22 May 1988,Founder of the Body Shop
"",297,306,Sun 08 May 1988,Agony aunt
"",298,307,Sun 17 Apr 1988,"Wife of Jeffrey Archer, Scientist"
"",299,308,Sun 03 Apr 1988,"Actor , Cookery writer"
"",300,309,Sun 28 Feb 1988,British actor
"",301,310,Sun 07 Feb 1988,Dancer
"",302,311,Sun 24 Jan 1988,Irish actor
"",303,312,Sun 10 Jan 1988,Opera singer - soprano
"",303,313,Mon 11 Oct 1965,Opera singer - soprano
"",304,314,Sun 08 Nov 1987,"Journalist, Broadcaster"
"",305,315,Sun 04 Oct 1987,"Actor, Singer"
"",306,316,Sun 06 Sep 1987,"Athlete, Tennis player, Lacrosse player, Badminton player"
"",307,317,Sun 16 Aug 1987,British actor
"",308,7,Sun 02 Aug 1987,"Writer, Autobiographer"
"",309,7,Sun 19 Jul 1987,"Athlete, Equestrian"
"",310,81,Sun 12 Jul 1987,"Actor, Singer"
"",311,318,Sun 15 Mar 1987,British actor
"",311,319,Mon 23 Jan 1956,British actor
"",312,320,Sun 25 Jan 1987,Campaigner
"",313,321,Sun 07 Dec 1986,Novelist
"",314,81,Sun 21 Sep 1986,"Actor, Singer-songwriter"
"",315,126,Sun 17 Aug 1986,British actor
"",316,322,Sun 10 Aug 1986,Olympic equestrian
"",317,323,Sun 29 Jun 1986,Violinist
"",318,324,Sun 30 Mar 1986,Conductor
"",319,325,Sun 23 Feb 1986,"Journalist, Presenter"
"",320,326,Sun 19 Jan 1986,"Actor, Broadcaster"
"",321,327,Sat 11 May 1985,South African actor
"",322,328,Sat 06 Apr 1985,Medium
"",323,315,Sat 09 Mar 1985,"Academic, Novelist"
"",324,329,Sat 09 Feb 1985,Singer
"",325,315,Sat 02 Feb 1985,British actor
"",326,330,Sat 26 Jan 1985,"Actor, Broadcaster, Cookery writer"
"",327,81,Sat 08 Sep 1984,Novelist
"",328,331,Sat 21 Jul 1984,Ballerina
"",329,332,Sat 05 May 1984,Opera singer - soprano
"",330,333,Sat 14 Apr 1984,"Explorer, Writer"
"",331,334,Sat 28 Jan 1984,Member of the Royal Family
"",332,335,Sat 07 Jan 1984,"Actor, Singer"
"",333,336,Sat 31 Dec 1983,Novelist
"",334,337,Sat 05 Nov 1983,"American actor, Singer"
"",335,338,Sat 22 Oct 1983,Opera singer - soprano
"",336,339,Sat 08 Oct 1983,"Actor, Writer"
"",337,340,Sat 01 Oct 1983,"Writer, Painter"
"",338,55,Sat 10 Sep 1983,Romantoc novelist
"",339,341,Sat 18 Jun 1983,"Writer, Painter"
"",340,342,Sat 12 Feb 1983,Fashion designer
"",341,343,Sat 05 Feb 1983,British actor
"",341,344,Mon 24 Jun 1963,British actor
"",342,345,Sat 22 Jan 1983,Opera singer - soprano
"",343,346,Sat 15 Jan 1983,Inspiration for The Sound of Music
"",344,106,Sat 01 Jan 1983,Writer
"",345,106,Sat 25 Dec 1982,Musical theatre actor
"",345,347,Fri 17 Sep 1954,"American actor, Singer"
"",346,348,Sat 27 Nov 1982,British actor
"",347,106,Sat 13 Nov 1982,Novelist
"",348,349,Sat 09 Oct 1982,Members of the London Philharmonic Orchestra
"",349,350,Sat 04 Sep 1982,British screen actor
"",349,7,Tue 16 Aug 1955,British screen actor
"",350,126,Sat 07 Aug 1982,Opera singer - mezzo-soprano
"",350,351,Mon 27 May 1968,Opera singer - mezzo-soprano
"",351,352,Sat 17 Jul 1982,Not the Nine O'Clock News performer
"",352,106,Sat 05 Jun 1982,Cookery writer
"",353,81,Sat 22 May 1982,"Actor, Singer"
"",354,353,Sat 08 May 1982,Opera singer - soprano
"",355,354,Sat 01 May 1982,Railway Children actor
"",356,294,Sat 24 Apr 1982,Historical novelist
"",357,341,Sat 10 Apr 1982,British actor
"",358,355,Sat 06 Mar 1982,Opera singer - soprano
"",358,356,Mon 16 Jul 1956,Opera singer - soprano
"",359,357,Sat 16 Jan 1982,Television broadcaster
"",360,358,Sat 19 Dec 1981,American author
"",361,359,Sat 21 Nov 1981,50s Hollywod film star
"",361,106,Mon 21 Aug 1961,50s Hollywood film star
"",362,360,Sat 17 Oct 1981,Writer
"",363,361,Sat 12 Sep 1981,Opera singer - soprano
"",364,362,Sat 11 Jul 1981,"Director, Choreographer"
"",365,315,Sat 04 Jul 1981,American silent film actor
"",366,320,Sat 18 Apr 1981,"Member of Monaco Royal Family, Actor"
"",367,363,Sat 28 Mar 1981,Ballerina
"",368,364,Sat 28 Feb 1981,"Writer, Comedian"
"",369,365,Sat 07 Feb 1981,Singer
"",370,81,Sat 17 Jan 1981,Member of the Royal Family
"",371,366,Sat 15 Nov 1980,"Writer, Archaeologist"
"",372,81,Sat 25 Oct 1980,Novelist
"",373,367,Sat 27 Sep 1980,"Novelist, TV writer"
"",374,368,Sat 30 Aug 1980,Opera singer - soprano
"",375,369,Sat 28 Jun 1980,"Broadcaster, Dog trainer"
"",376,81,Sat 10 May 1980,American actor
"",377,370,Sat 05 Apr 1980,Salvation Army commissioner
"",378,280,Sat 22 Mar 1980,Horticulturalist
"",379,371,Sat 08 Mar 1980,Opera singer - soprano
"",380,126,Sat 01 Mar 1980,British actor
"",381,372,Sat 29 Dec 1979,Violinist
"",382,300,Sat 08 Dec 1979,Opera singer - soprano
"",383,373,Sat 13 Oct 1979,"Musician, Soprano"
"",384,374,Sat 29 Sep 1979,"Poet, Entertainer"
"",385,375,Sat 08 Sep 1979,Portrait painter
"",386,376,Sat 28 Jul 1979,Pianist
"",386,377,Mon 07 Oct 1957,Concert pianist
"",387,106,Sat 21 Apr 1979,American novelist
"",388,378,Sat 17 Mar 1979,Opera singer - soprano
"",389,379,Sat 03 Mar 1979,Hollywood film star
"",390,315,Sat 24 Feb 1979,Singer
"",391,380,Sat 25 Nov 1978,Oscar winning actor
"",392,381,Sat 16 Sep 1978,Opera singer - mezzo-soprano
"",393,382,Sat 12 Aug 1978,South African actor
"",394,383,Sat 29 Jul 1978,Novelist
"",395,384,Sat 22 Jul 1978,Chairwoman of the Women's Institute
"",396,341,Sat 15 Jul 1978,Opera singer - soprano
"",397,55,Sat 08 Jul 1978,Cookery writer
"",398,385,Sat 24 Jun 1978,"Novelist, Historian"
"",399,386,Sat 03 Jun 1978,Opera singer - soprano
"",400,387,Sat 27 May 1978,"Agony aunt, Broadcaster"
"",401,129,Sat 01 Apr 1978,Good Life actor
"",402,388,Sat 18 Feb 1978,"Leader of the Opposition (became Prime Minister in 1979), Politician - Conservative"
"",403,55,Sat 31 Dec 1977,Children's writer
"",404,389,Sat 22 Oct 1977,"Writer, Agony aunt"
"",405,390,Sat 08 Oct 1977,British actor
"",406,391,Sat 03 Sep 1977,Novelist
"",407,392,Sat 20 Aug 1977,Oscar winning actor
"",407,7,Sat 17 Nov 1945,Actor
"",408,393,Sat 06 Aug 1977,"Mitford sister, Writer"
"",409,394,Sat 16 Jul 1977,Author of Superwomen
"",410,395,Sat 09 Jul 1977,"Sailor, Journalist"
"",411,396,Sat 02 Jul 1977,Novelist
"",412,341,Sat 11 Jun 1977,Opera singer - soprano
"",413,397,Sat 28 May 1977,Harpist
"",414,398,Sat 21 May 1977,Creator of Mary Poppins
"",415,399,Sat 14 May 1977,Singer
"",416,400,Sat 26 Mar 1977,"American actor, Musician"
"",417,126,Sat 19 Mar 1977,Cellist
"",418,81,Sat 26 Feb 1977,Prima ballerina
"",419,401,Sat 11 Dec 1976,"Actor, Musician, Singer"
"",420,81,Sat 20 Nov 1976,Opera singer - soprano
"",421,402,Sat 21 Aug 1976,Good Life actor
"",422,373,Sat 24 Apr 1976,"Actor, Singer"
"",423,403,Sat 03 Apr 1976,British actor
"",424,404,Sat 20 Mar 1976,"Lady Astor's lady's maid, Writer"
"",425,405,Sat 07 Feb 1976,Ballerina
"",426,406,Sat 03 Jan 1976,British actor
"",427,129,Sat 13 Dec 1975,Opera singer - soprano
"",428,81,Sat 11 Oct 1975,On The Buses actor
"",429,407,Sat 13 Sep 1975,Television presenter
"",430,408,Sat 09 Aug 1975,Oscar winning actor
"",431,409,Sat 05 Jul 1975,Painter
"",432,197,Sat 19 Apr 1975,British comedy actor
"",433,410,Sat 08 Mar 1975,"Writer, Journalist"
"",434,411,Sat 22 Feb 1975,Opera singer - soprano
"",435,412,Sat 01 Feb 1975,Brief Encounter actor
"",435,413,Thu 18 Nov 1954,Brief Encounter actor
"",435,7,Sat 27 Oct 1945,Actor
"",436,414,Sat 21 Dec 1974,"Upstairs, Downstairs actor"
"",437,415,Sat 14 Dec 1974,Jennifer's Diary columnist
