125,A Big Hat With A Lot Of Muslin
126,Pencils And Paper
127,Claret
128,The Perfume Knowing By Estee Lauder
129,Perfume
130,Van Gogh's Irises
131,An Orange Tree
132,Tapestry Making Kit
133,Hot-water Bottle
134,Astronimical Telescope With 'catalogue Of Nebulae'
135,Bbc Radio 5 Live
136,A Notebook And Pencil
137,Red Lipstick
138,The Full Collection Of Ordnance Survey Maps Of The British Isles
139,A Snorkelling Suit With Prescription Goggles
140,"Egg Tempura Paints, Brushes, And Boards To Paint On"
141,Box Of Watercolour Paints
142,Swedish Wooden Horse
143,Unlimited Supply Of Sun Block (nicely Scented)
144,Clockwork Radio Tuned To Radio 4
145,Downy Pillow
146,Pencil And Paper
147,Oil Paints And Brushes
148,Banjo With Plastic Head With An Inexhaustible Supply Of Strings Pegs
149,Painting By Maurice Cockerill - Ariadne's Thread
150,Endless Supply Of Coffee
151,Five Juggling Balls
152,Painting By Titian: Bacchus Ariadne
153,A Trowel For Digging
154,Book On How To Sketch And Some Paper And Pens
155,Rollercoaster
156,Pen And Unlimited Paper
157,Solar Laptop
158,Roses
159,A Garden
160,Grand Piano (and Music Scores)
161,Cat Food
162,Wind-up Radio
163,Ballroom And Robotic Dance Instructor
164,Tea Service With Tea
165,Varieties Of Tea And A Tea-making Outfit
166,(hot) Shower
167,Radio To Listen To The World Service
168,To Be Missed By The People She Loves
169,A Globe
170,Cigarettes And Whisky
171,A Chaise Longue By A Window
172,Paper And Pens (with Thick Nibs)
173,An Atkinson Grimshaw Painting
174,Sun Block
175,Jaguar Xk8
176,A French Restaurant In Full Working Order
177,A Handful Of Cannabis Seeds
178,The Man With A Glove Painting By Titian
179,Basil Brush Films And Projector
180,A Very Comfortable Sofa
181,Goose Down Duvet
182,Rosary Beads
183,Word Processor
184,Family Photo Album
185,Photo Of An Irish Cottage
186,Sampler To Record The Noises Of The Island
187,Solar-powered Refrigerator Full Of Champagne
188,Big Bag Of Plaster To Make Heads Of Friends
189,A Bed
190,An Endless Supply Of Curry
191,Teddy Bear Stuffed With Tea And Lily Of The Valley
192,Teddy Bear Stuffed With Tea Bags
193,Tribute Heads By Elisabeth Frink
194,Toothbrush And Toothpaste
195,Cellar Of Wines And A Corkscrew
196,A Widow's Cruse Filled With Whisky
197,Four-poster Bed
198,Cannabis Seeds
199,Cello
200,Tea In Abundance
201,Enormous Cookery Book
202,"Painting Kit (easel, Oils, Brushes)"
203,Jar Of Vegemite
204,Shampoo
205,Peanuts And Treats To Tame Animals And Birds
206,The Barnes Collection (paintings)
207,Triple-folding Screen And Personal Photographs
208,"Dark Room, Film And Camera"
209,Make-up Kit
210,An Endless Team Of Man Fridays!
211,Her Piano
212,A Very Large Set Of Solar-powered Hair Rollers
213,Hot Lemon Flannels (as Provided In Chinese Restaurants)
214,Madame Rochas Scent
215,Television Set
216,Tapestry To Make
217,Pen From Aspreys With Attached Magnifying Glass
218,"Plain Paper, Plastic Folders And Ballpoint Pens"
219,A Supply Of Embroidery
220,Laptop Computer
221,Unlimited Supply Of A4 White Paper Cartridges For Fountain Pen
222,Toilet Bag Full Of Skin-barrier Creams
223,A Gilabra (cloak Of Gold)
224,Mouth Organ
225,A Case Of Krug Champagne
226,Watercolours For Painting
227,A Bed And White Egyptian Sheets
228,Samson Tobacco And Liquorice Rizla Papers
229,Case Of Evian Water Filled With Champagne
230,Large Victorian Bath With Claw Feet
231,Flower Press
232,"Waterproof Pens, Paper And Folders"
233,Magic Carpet
234,Large Chippendale Mirror
235,Inexhaustible Supply Of Laundered Swiss Lawn Handkerchiefs
236,Tightrope
237,Radio 4's Today Programme
238,Paper And Pencils
239,Personal Pouch With A Silver Lion In It
240,Mace Of The House Of Commons
241,Very Big Photograph Album On A Wheeling Table
242,Game Of Scrabble With Paper And Pencil
243,"Tennis Wall, Balls And Racket"
244,Chocolate
245,"A Still (to Distill Berries, Etc. Into Drink)"
246,"Tennis Court, Balls, Racket And Wall"
247,"Pad, Felt Pens And Biros"
248,Film - The Commitments
249,A Comfortable Chair
250,Masaccio Frescos In The Brancacci Chapel
251,Multi-lingual Dictionary
252,A Huge Tapestry Kit
253,Triangular Pillow
254,Supply Of Fine Havana Cigars
255,Swimming Pool Of Champagne
256,Mouth Organ With Instructions
257,Expensive Perfumed Hand Cream
258,Daughter's Painting
259,Large Filing Cabinet Full Of A4 Paper Pens
260,Large Swiss Army Knife
261,Do-it-yourself Solar-powered Kit
262,Bath With Solar-heated Water And Bubble Bath
263,An Everlasting Bottle Of Sleeping Pills
264,Box Of Seeds
265,Crochet Needles And Wool
266,Crown Jewels (so Someone Will Look For Her)
267,Photo Of Mother
268,Typewriter
269,Writing Materials And A Union Flag
270,Hair Pieces
271,Large Box Of Marrons Glaces
272,Set Of Wood-carving Tools
273,Computer
274,Photograph Album
275,"A Bed, Netted From Snakes And Flies"
276,Jeroboam Of Champagne
277,Supply Of Cocoa Butter And Hat
278,Tape Recorder
279,Denis Healey Or Large Double Bed With Pillows
280,Lamp With Solar Batteries
281,"Papers, Pencils, Paints"
282,Soft Pillow
283,Binoculars
284,"Watercolour Paints, Brushes And Paper"
285,Curling Tongs
286,Large Bottle Of Sun Tan Oil And Moisturiser
287,Amazonian Rain Maker
288,Aircraft Carrier (to Decorate)
289,Cleansing Milk
290,Insect Repellent
291,Case Of Champagne
292,Bag Of Wild Flower Seed
293,Solar-powered Word Processer
294,Guitar
295,Cold Cream
296,Hot Spices
297,Manicure Set And Nail Varnish
298,Mona Lisa
299,Six Feet Of English Hedgerow
300,Bed
301,Baked Beans
302,Madge Allsop
303,Large Bottle Of Toilet Water
304,Skin Food
305,Comfortable Bed With Pillows And Sheets
306,Little Rosebush
307,"Needles, Cotton And Material"
308,Hot Bath With Extra Tap For Cold Champagne
309,Photograph Of Children
310,Her First Dress Worn On Stage
311,Manicure Set
312,Loofah
313,Make-up Table
314,Iron And Ironing Board
315,Telephone
316,Bicycle
317,Four Poster Bed
318,Stuffed Dog
319,Stereoscope With Slides Of Her Family
320,Pillow
321,Photograph Of Family
322,Never-ending Supply Of Smoked Salmon
323,Stradivarius Violin
324,Bathroom With Lots Of Full Cupboards
325,Hairbrush
326,A Parking Meter Caravan
327,Artist's Equipment
328,"Photograph Album Of Family, Friends And Pets"
329,Buddha Statue
330,Whiskey
331,Wine - Chateau Margaux 1961
332,Windsurfer
333,Mosquito Coils And An Apple Pip
334,Cat
335,"King-size, Brass Bed With A Feather Mattress"
336,Writer's Kit
337,Blank Paper
338,"Garlic, Chocolate And Wine"
339,Union Jack
340,Flowers Delivered Daily By Bottle
341,Painting Materials
342,"Sketchbook, Pens And Pencils"
343,Silk Garment
344,Lipsticks
345,Piano With Bath Salts
346,"Statue Of Madonna And Child, 17th Century"
347,Eau De Cologne
348,Silk Underwear
349,"Razor And Shaving Soap, A Video Player With A Tape Of Laurel Hardy, Wine And A Violin"
350,Coffee And Espresso Machine
351,Doll's House
352,Television Set With Satellite Link-up
353,Teddy Bear
354,Oriental Rug
355,Castanets
356,Dresden
357,"Water Colours, Brushes And Paper"
358,Scrabble
359,Chocolates
360,Camera And Film
361,Perrier Water
362,Eyelash Curlers
363,Sunglasses
364,French Shampoo
365,Tennis Practice Equipment
366,Wine
367,Champagne
368,Silver Shadow Rolls Royce
369,Mother's Ormolu Clock
370,"Strong, Wooden Armchair"
371,Cooking Knives
372,Mixed Flower Seeds
373,Michelangelo's David
374,Large Basket Of Sugared Almonds
375,"Canvases, Brushes And Paint"
376,Wine From Own Vineyard
377,Flower Seeds
378,Sistine Chapel In The Vatican
379,Sun Tan Lotion
380,The Taj Mahal
381,Box Of Spices
382,Mink-lined Hammock
383,German White Wine
384,Selection Of Herbs
385,"Camille Pissarro, On The Banks Of The Marne"
386,"The Nike Of Samothrace, In The Louvre"
387,Indian Tea
388,Photo Album Of Her Children
389,"Bath With Hot Water, Soap And Towels"
390,"Typewriter, Spare Ribbons And Paper"
391,Whisky And Ginger Ale
392,Wool And A Crochet Hook
393,Supply Of Gentlemen's Relish
394,Oil Painting Equipment
395,Fresh-water Shower
396,Exercise Books And Ballpoint Pens
397,Oils And A Comb
398,Little Marble Buddha
399,A Picture Of All Her Loved Ones
400,"Scissors, Needles And Thread"
401,Armchair
402,Lapsang Souchong Tea
403,Ballet Picture By Degas
404,Picture Called Summer Arangments By Nikolsky
405,Champagne Dress
406,Tapestry-making Kit
407,Bath Salts
408,Tea
409,A Soap That Kills Mosquitoes
410,Notebooks And Pens
411,Beauty Products
412,Rolls Royce
413,Rose Cutting And Some English Soil
414,Portrait Of Her Husband
415,Radio Receiver
416,Drawing And Writing Materials
417,Group Photograph Of Friends
418,Pair Of Field Glasses
419,Cards
420,Small Photographic Darkroom
421,Tranquillizers
422,Electric Blanket
423,Dogs
424,Score Of Mozart's The Magic Flute
425,Gold Bracelet Called The Lion Of Judah
426,"Comb, Manicure Set, Etc"
427,Soap
428,Box Of Oddments From Her Dressing Table
429,Brandy
430,Accordian
431,Duvet
432,Pair Of Binoculars
433,Oil-painting Equipment
434,Family Photograph
435,Sun-barrier Cream And A Straw Hat
436,Spy-glass
437,"Typewriter, Paper And A Hostess Gown"
438,Cookham Resurrection By Sir Stanley Spencer
439,Constable Landscape
440,Seeds
441,Dart Board And Darts Of Different Weights
442,Hot Water And Bath Oil
443,Canvas And Tapestry Tools
444,English Pub
445,Queen Mary's Dolls' House
446,"Forty Yards Of Flowered Chintz, A Needle Cotton"
447,Make-up Box
448,Prawn Cocktails
449,Toothbrushes
450,Vegetable Garden
451,Tahitian Language Course
452,Knitting Needles And Wool
453,An Excerpt From The Bbc Recording Just William
454,Parasol
455,"Velasquez, The Maids Of Honour, In The Prado"
456,Painting By Her Husband Of Their Son
457,Bath With A Hot-water System
458,Umbrella
459,Stamp Album
460,Bathroom Suite
461,String Of Pearls
462,Writing And Painting Materials
463,Clue To Buried Treasure
464,Barrel Of Lipstick
465,Lipstick
466,Ukelele
467,Cosmetics
468,Painting Equipment
469,Writing And Sketching Materials
470,"Billiard Table, Cue And Balls"
471,Parrot
472,"Bag Of Pillows, In Which She Will Smuggle In Her Dog"
473,"Make-up Set, Mirror And Comb"
474,Alabaster Cherub
475,Knitting Wool And Needles
476,Two Chinese Figures Of Musicians
477,Ivory Ball
478,Sycamore Trees
479,Full-length Mirror
480,Michelangelo's Pieta
481,"Painting, Or A 16th-century Patch Box"
482,Complete Works Of Shakespeare
483,The Beatles New Colour Television Show
484,Mink Coat
485,Golf Clubs And Balls
486,Mattress
487,French Silk-lined Leather Gloves
488,Parsley
489,Tobacco Seeds
490,Spices And Herbs
491,Field Glasses
492,Bath With Hot Water
493,Onion Plants
494,Foam Rubber Mattress And Mosquito Net
495,Etruscan Frieze Of Horses
496,Indian Painting Showing The Crucifixion
497,Library
498,Face And Hand Creams
499,Piece Of Sculpture
500,The Albert Memorial
501,False Eyelashes
502,Silver Box
503,Skin-diver's Mask
504,Mementoes Box
505,Telescope
506,Her Portrait By Augustus John
507,Coffee And Condensed Milk
508,Photographs
509,Toothbrush
510,Suntan Lotion
511,Make-up
512,Swedish Crossword Puzzles
513,Looking Glass
514,Mobile From The Museum Of Modern Art
515,Van Eyck's Adoration Of The Immaculate Lamb
516,Her Commonplace Book
517,Flower Seeds And An Armchair
518,Reproduction Of Renoir's The Picnic
519,Photograph And Recording Of Family
520,Sable Coat
521,Family Photographs And A Tape Recorder
522,Sun-tan Oil
523,Painting By Rembrandt In The National Gallery
524,"Rolls-royce, Water Skis And A Piano"
525,Pairs Of Spectacles
526,Unbreakable Spectacles
527,Insecticide
528,Painting By Renoir
529,Paintbox
530,Carved Stone Head Of A Chinese Philosopher
531,Blue-green Silk Robe With Packets Of Flower Seeds In The Pockets
532,Tapestry-making Materials
533,Mink Stole
534,Painting By Gauguin
535,Sun-bathing Oil
536,Framed Ronald Searle Drawings
537,Playing Cards
538,Language-teaching Records For All Languages
539,Soil And Rose Bushes
540,"Paper, Pencils And Paints"
541,Astronomical Telescope
542,"Jewelled Gold Statuette Of St George And The Dragon From The Schatzkammer, Munich"
543,Wooden Statue Of St Florian
544,Painting Of London To Be Commissioned From Graham Sutherland
545,Kaleidoscope
546,Frogwoman's Outfit
547,Complete Glamour Outfit
548,Photograph Of Battersea Power Station
549,Case Of Avocado Pears
550,Artists' Materials
551,Writing Paper And Pencils
552,Clock
553,Handbag With Contents
554,Encyclopaedia
555,Sunburn Lotion
556,Beach Ball
557,Gardenia Bush
558,Box Of Make-up
559,Girl Guide Camp Bed
560,Photo Of Wife
561,Circus Horses By Toulouse-lautrec
562,Box Of Paints
563,Mascot
564,St Christopher Medal
565,Bejewelled Golden Comb
566,Mink Sleeping Bag
567,Embroidery Workbox
568,Expensive Jewellery
569,Comb
570,Cross
571,Cigarettes
572,Lucky Charm
573,Still For Making Poteen
574,Picture By Cezanne Or A Bed
575,Blue Vase
576,El Medico Oil Painting By Goya
577,Garlic
578,A Robotic Sex Doll
579,A Huge Stack Of White Paper And Pencils
580,An Easy Chair
581,A Football
582,A Bontempi Keyboard
583,Calligraphy Materials
584,Watercolour Paints And Paper
585,"Bottles, Pens And Paper"
586,Radio-cassette Player And Language Tapes
587,Vodka
588,A Coffee Machine
589,Two Enormous Casks Of Chateau Margaux
590,"Cricket Bat, Ball And Stumps"
591,A Laminated Photo Of His Family
592,Young Lady In Profile 1495 - De Predis
593,Greek Sculpture Of A Female Head
594,His Saxophone
595,A Victorian Bath And Hot Water
596,Mclaren Slr Car With Petrol
597,A Dozen Bottles Of Vidal Sassoon Hair Shampoo
598,Piece Of Sculpture By Baracal
599,An Inexhaustible Supply Of Tea And A Kettle
600,Electric Guitar
601,My Blue Suede Shoes
602,Luxury Mattress And Pillow
603,Set Of Golf Clubs And Balls
604,His Own Drum Kit
605,A Grand Piano
606,A Basic Word Processor
607,Piano With Music
608,A Mirror
609,Golf Clubs
610,Marmite
611,Never Ending Supply Of Pressed Shirts And Trousers
612,A Set Of Watercolours And An Endless Supply Of Paper
613,A Sand Wedge Endless Golf Balls For Playing Golf
614,Two Established Vines And A Tin Bath To Make Wine
615,My Own 'amazing Pair Of Binoculars'
616,A Miniature Still With A Little Ice-making Machine Attached To It To Make Dry Martinis.
617,A Nightly Fragrant Bath
618,An Indoor Golf Driving Range
619,A Tandem Bike With Wooden Models Of His Family At The Front
620,Two Feathered Pillows
621,Stash Of Cigarettes
622,A Drum Kit
623,Kiln
624,Bucket And Spade
625,Fishing Rod
626,Solar-powered Espresso Machine
627,Surfboard
628,Football
629,Ukulele
630,Espresso Machine
631,A Ferris Wheel
632,A Pillow
633,Sand Wedge And Golf Ball
634,Acoustic Guitar
635,Lip Balm
636,Merlot Grapevine
637,My 49-year-old Double Bed.
638,A Solar Dvd Player Loaded With The Seven Series Of The West Wing
639,A Large Bed With Fifty Per Cent Goose Down And Fifty Per Cent Feather Pillows.
640,A Piano And Guide To Playing It
641,A Comfy Bed With Lots Of Pillows
642,A Power Shower With White Fluffy Towels And Constant Hot Water.
643,San Pellegrino Water On Tap
644,A Cheeseburger Machine
645,A Picture Of The Clifton Suspension Bridge
646,Large Supply Of Moleskin Sketch Books
647,Fully-restored Morris Minor Traveller With Wooden Detail
648,A Large 18th-century Picture
649,Full Set Of Scuba Gear
650,Dvds Of Sitcoms And Dvd Player
651,Brass Microscope
652,A Synthesiser To Make Up My Own Music.
653,Very Big Box Of Chocolates Including Nougat
654,My Cricket Bat
655,My Paints
656,No.7 Meccano Outfit
657,"A Wicket, Cricket Bat, Net, An Endless Supply Of Balls And A Bowling Machine That Can Be Set To Replicate The Style Of Any Bowler"
658,A Proper Orthopaedic Cushion
659,A Gun
660,His Clarinet And An Unlimited Supply Of Reeds
661,Good Wine
662,A Communications Receiver (receiving Only)
663,An Aston Martin Car
664,"Lots Of Paper, Pencil And Pencil Sharpener"
665,A Bottle Of Chilled Sancerre For Every Night
666,Two Hundred Cases Of Vintage Wine
667,My Own Trumpet
668,A Mouth Organ With Instruction Book
669,A Magic Wine Cellar Which Never Runs Out
670,A Wall To Kick A Football Against
671,A Solar Computer Loaded With Pictures Of My Family And Friends
672,Well Stocked Bar Fridge
673,A Good Piano
674,Grand Piano
675,Sketch Book With Lots Of Pencils
676,White Truffles
677,A 'magic' Pudding And A Drink
678,A Pack Of Cards
679,A Happy Photograph Of The Whole Family Including The Latest Grandchildren
680,Ice-cold Vanilla Vodka And Tonics
681,Tenor Saxophone
682,A Mini Dvd Player
683,Cloudy Bay Sauvignon Blanc From The Marlborough District Of New Zealand
684,"A Collection Of Drawing Books, Pencils And Varnish"
685,Havana Cigars
686,"A Microscope, Equipment And A Stack Of Notebooks"
687,Good Toiletries For My Bath
688,A Ceramic Bowl From The Village Of Istalif In Afghanistan
689,Italian Coffee Machine And Grinder
690,A Cello
691,A Settee To Sit On
692,World's Biggest Church Organ
693,"A Huge, Huge Photo Album Of Friends"
694,Vaporiser
695,Snorkelling Gear
696,Portable Radio With An Endless Supply Of Batteries
697,A Hammock
698,Digital Radio
699,Db9 Car
700,A Very Long Stainless Steel Shaft To Encourage Pole-dancing Mermaids!
701,Endless Supply Of Mojitos
702,"Can Of Beluga Caviar, Spoon And Tin Opener"
703,Collection Of Times Crosswords
704,A Comfortable Bed
705,Daily Araucaria Crossword
706,Vat Of Novocaine - A Non-addictive Pain-killer
707,A Set Of Uillean Pipes
708,A Combined Heat And Power Micro-unit
709,Collage Of Photos Of Family And Friends
710,A Guitar With A Guide To Playing It
711,A Bar With Two Discs For Weight Training
712,A Video Of A Day In The Life Of His Family
713,Lots Of Toilet Roll
714,His Own Long-handled Spoon To Make Dressings
715,Loads Of Really Good Pens And Paper
716,Writing Pad And Pencils
717,Dvd Projector And Dvds
718,A Banjo
719,Time Machine
720,"Fountain Pen, Ink And Paper"
721,Supplies Of Pen And Paper
722,Selection Of Pictures
723,An Espresso Coffee Machine With Coffee
724,Favourite London Restaurant
725,Water Hammock
726,Cellar Of Champagne
727,A Keyboard
728,Trumpet
729,Japanese Knives
730,A Violin
731,Arches Watercolour Paper
732,My Children's Pillows
733,A Didgeridoo Belonging To His Late Son Eddie.
734,Pinball Machine (traditional American One)
735,Hendrickje Bathing By Rembrandt
736,A Lifetime's Supply Of Great Cigars
737,Helicopter
738,A Cannondale Bike
739,Virtual Sherry Trifle
740,A Crate Of Scottish Whisky
741,Video Or Pictorial Book Of '100 Examples Of Excellence'
742,A Piano With A Mattress
743,One Of His Wheat-free Loaves
744,Mobile Phone
745,"Mont Blanc Pen, Nibs And Spiral Squared Notebooks"
746,Rizla Liquorice Papers
747,Lifetime's Supply Of Pinot Grigio
748,Velasquez's Las Meninas
749,Viola
750,A Case Of Selected Malt Whiskies
751,His Guitar
752,Sunday Papers
753,Paper And Felt-tipped Pens
754,Potato Crisps
755,A Solar Hot Water System
756,A Pair Of Swimming Goggles With Prescription Lenses
757,Large Pot Of French Mustard
758,Own Pillow
759,Big Supply Of Caviar
760,A Solar-powered Buggy
761,All-purpose Prosthetic Arm
762,Champagne (the Best Possible)
763,Car Fitted With A Telescope
764,A Trip Around My Island On Concorde
765,A Handmade Pair Of Shoes
766,Howard Hodgkin's Painting Learning About Russian Music
767,A Spade
768,Bunch Of Canvases With Oils And Brushes
769,A Bed With A Mosquito Net
770,His Beloved Billiard Table And A Shed To Keep It In
771,"His Mysterious Object (an Object Found By His Father That, As Yet, No-one Can Identify)"
772,Vermeer Painting - The Piano Lesson.
773,Chess Set With A Problem Book
774,A Full-size Billiard Table With Radio 4 Built Into Each Of The Legs
775,Billiard Table With Snooker Balls And Cue
776,A Box Of Plastic Straws To Fiddle With
777,Fly-fishing Rod
778,"Hot And Cold Running Water, Bath Tub And Bath Oil"
779,Copper Plate Engravings Of Durer's Passion
780,Music Manuscript Paper And Pens
781,Canvas Roll Containing Dissecting Set
782,Razor
783,A Gollock
784,Case Of Havana Rum
785,A Saxophone
786,A Rug Made By The Baluch People From Afghanistan
787,Sun Lounger With Canopy To Protect Him From The Sun
788,Set Of Golf Clubs And An Endless Supply Of Balls
789,My Computer
790,Spotted Dick With Lyon's Syrup
791,Shaving Kit
792,A Guitar
793,Set Of Golf Clubs
794,Snorkel
795,Snorkel Mask
796,A Drink-making Machine
797,A Hot Shower And Some Soap
798,Cricket Bag
799,Sketchpad And Felt Pens To Design
800,A Six Inch Nail
801,Mirror
802,My Boat - But Not To Escape
803,Waterslide
804,"Triptych, May - June 1973 By Francis Bacon"
805,A Magic Flute
806,Boxed Set Of Blues Harps (harmonicas) And Instruction Book
807,Videos Of Cricket Matches
808,Express Coffee Machine With Coffee Beans
809,Large Bath With A Constant Supply Of Hot Water
810,A Subscription To The Guardian Newspaper For One Year
811,A Painting By His Wife
812,Own Set Of Golf Clubs And Balls
813,Skin So Soft - Avon
814,Riba Drawings Collection
815,Personal Photo Album
816,A Jukebox
817,Jet Ski
818,V A Museum
819,Cd Player
820,An Accordion
821,Zippo Lighter
822,An Mp3 Player (ipod)
823,Millenium Centre In Cardiff
824,A Kitchen
825,Modern Mini Brewery
826,A Steamer Chair
827,A Hammock From Hermes
828,"A Piano Or, Failing That, For Comfort A Tin Of Condensed Milk Tin Opener"
829,Solar-powered Radio
830,Radio
831,An Acoustic Martin D.35 Guitar
832,"Pencils, Paper And Watercolours"
833,Potato Seeds
834,Case Of Opus One Wine
835,An Anchored Yacht
836,A Photo Of His Wife And All Of His Children
837,Kingsize Cigarette
838,A Flat Water Kayak Suitable For Rough Water
839,A Bass Guitar
840,A Cappuccino Maker
841,Oil Paints
842,The Blue Nude By Justin Deranyagala
843,A Chess Computer
844,A Solar Powered Computer With A Secret Compartment Containing A White Powder
845,"A Jar Of Apricots, By Chardin"
846,His Own Guitar: The Red Special
847,A Box Of Watercolours
848,A Sloping Lawn
849,A Nucleus Of Bees
850,A Set Of Mixed Greek And Roman Coinage
851,"A Steinway Model D Piano, Specially Conditioned To Deal With All Weathers"
852,Two And Half Miles Of The Hampshire Chalk Stream
853,A Fresh Vanilla Pod
854,Isle Of Lewis Chess Set From The British Museum
855,Big Roll Of Paper
856,Celestial And Terrestrial Globes
857,Chromatic Harmonica
858,Leatherman - Like A Swiss Army Knife But More Substantial
859,Solar-powered Magimix
860,Dojo
861,Entire Cellar Of A Great Collector Of French Wine
862,Banjo
863,Electrical Device To Heat Shaving Foam
864,Bethsheba By Rembrandt
865,Cassette Recorder And Cassettes
866,Molecular Engineering Laboratory - To Construct A 'dog'
867,A Huge Jar Of Liquorice
868,Video Player With Cassettes Of Old Movies
869,Mister Trumper's Aftershave
870,A Barrel Of Adnam's Ale Brewed In Suffolk
871,Pack Of Cards
872,Airbrush Computer Graphics Set
873,A Pair Of Binoculars
874,A Small Painting Called The Head Of A Girl By Michael Sweerts
875,"Unlimited Supply Of Paper, Paints, Pencils"
876,1939 Edition Tenor Saxophone
877,Renaissance Casket With A Selection Of 15th 16th Century Italian Drawings In It
878,The Microscope Used To Examine The Lineage Of The Roundworm
879,A Lucky Sixpence
880,Lots Of Paper With Pens
881,Lots And Lots Of Chocolate
882,Big Photo Album Of Friends And Family
883,A Huge Supply Of Indian Tea With A Worcester Tea Pot
884,Solar-powered Piano
885,Drumsticks
886,A Down Pillow
887,Newspaper
888,Velasquez Painting Of Old Lady Frying Eggs
889,Bath
890,Marble Bath With Constant Hot Water
891,A Wind-up Radio
892,Whisky
893,An Orrary - An Electronic Toy For Looking At The Sky
894,A Huge Supply Of Chardonnay
895,Little Bottle Of Aftershave
896,A Drumkit
897,My Bathroom
898,Syndicate Whisky
899,An Accountancy Course
900,Pot Of Stew With Two Dumplings
901,Motor Car And Petrol
902,19-note Piano
903,Solar-powered Laptop
904,Watercolour Paint Box (plus Brush And Pad)
905,Cyanide Tablet (if He Can't Have A Tower And Telescope Or A Full-size Snooker Table)
906,Vibraphone
907,Skis
908,Case Of Really Good Vintage Wine
909,Karaoke Piano
910,Space Invaders
911,Comfortable Armchair/desk
