132,George Melly,Rockin' Chair,Composer: Carmichael
133,Michael Jackson,Billie Jean,Composer: M Jackson
134,Sarah Jane Morris,Never Forget How to Dance,Composer: Sarah Jane Morris/Martyn Barker/Dominic Miller/John Brown
135,Little Richard,Good Golly Miss Molly,"Composer: Marascalco, Blackwell"
136,The Rolling Stones,Little Red Rooster,Composer: Willie Dixon
137,Ella Fitzgerald  Louis Armstrong,Cheek to Cheek,Composer: Irving Berlin
138,Lou Reed,Walk on the Wild Side,Composer: Lou Reed
139,Phil Collins,In the Air Tonight,Composer: Phil Collins
140,Lucinda Williams,Can&#x2019;t Let Go,Composer: Randy Weeks
141,Marvin Gaye,Let&#x2019;s Get It On,Composer: Gaye/Townsend
142,Monty Python,Always Look on the Bright Side of Life,Composer: Eric Idle.
143,Bob Dylan,I&#x2019;ll be Your Baby Tonight,Composer: Bob Dylan
144,Dinah Washington,But Not For Me,Composer: George and Ira Gershwin
145,Buena Vista Social Club,Chan Chan,Composer: Compay Segundo
146,Doris Day,By the Light of the Silvery Moon,Composer: Madden/Edwards
147,Leonard Bernstein,Somewhere (from West Side Story),Artist: Marnis Nixon and Jim Bryant
148,The Beatles,I Want to Hold Your Hand,Composer: Lennon/McCartney
149,Giovanni Battista Pergolesi,Stabat Mater,Artist: Cecilia Bartoli  (and June Anderson) with the Sinfonietta de Montreal conducted by Charles Dutoit
150,Barbra Streisand,The Way We Were,Composer: Marvin Hamlisch/Alan Bergman  Marilyn Bergman
151,Antonio Vivaldi,The Four Seasons - Spring,Artist: Gidon Kremer with the London Symphony Orchestra conducted by Claudio Abbado
152,George Frideric Handel,Comfort ye my people (from Messiah),Artist: Philip Langridge
153,The Kinks,Waterloo Sunset,Composer: Ray Davies
154,June Tabor,The Band played Waltzing Matilda,Composer: E Bogle
155,George Fenton,The Funeral,Composer: Fenton/Gwangwa)
156,Wolfgang Amadeus Mozart,Dove sono (from The Marriage of Figaro),Artist: Kiri te Kanawa with the London Philharmonic Orchestra conducted by Sir Georg Solti
157,Johann Sebastian Bach,"Herr, wenn die stolzen Feinde schnauben&#x2013; Lord, if proud enemies rage, from Bach&#x2019;s Christmas Oratorio",Artist: The Monteverdi Choir  the English Baroque Soloists conducted by John Eliot Gardiner
158,Johann Sebastian Bach,Concerto for Two Violins in D minor,Artist: The German Bach Soloists led by Helmut Winschermann
159,Thomas Tallis,Spem in Alium,Artist: The Sixteen
160,Bette Midler,Is that all there is?,Composer: Leiber and Stoller
161,Jonathan  Darlene Edwards,Tiptoe through the Tulips,Composer: Burke/Dubin
162,Jimmy Shand,Mrs Cholmondeley&#x2019;s Reel,Composer: Trad
163,Wynonna,I&#x2019;m So Lonesome I could Cry,"Composer: Hank Williams, Sr."
164,Fritz Kreisler,Sch&#xF6;n Rosmarin,Artist: Fritz Kreisler with the Victor Symphony Orchestra
165,Barbara Windsor,It&#x2019;s Nicer in Nice,Composer: Leslie Bricusse
166,Giacomo Puccini,Tosca Act 2 (finale),Artist: Maria Callas  Tito Gobbi with the Paris Conservatoire Orchestra conducted by Georges Pretre.
167,"The Royal Artillery Orchestra conducted by Major Frank Renton, RA.",March of the Toys,Composer: Victor Herbert Arr. F .A Renton
168,Oscar Hammerstein II,I&#x2019;ll Take Romance,"Artist: Betty Driver
Composer: Hammerstein/Oakland"
169,Pyotr Ilyich Tchaikovsky,Piano Concerto No. 1 in B Flat Minor,Artist: Stephen Hough with the Minnesota Orchestra conducted by Osmo Vanska
170,Ella Fitzgerald,Night and Day,Composer: Cole Porter
171,Johann Strauss II,Thunder and Lightning Polka,Artist: Sir Harry Mortimer (with the G.U.S. (Footwear) Band
172,Winifred Atwell,Black and White Rag,Composer: Botsford
173,Pyotr Ilyich Tchaikovsky,the Overture to Swan Lake,Artist: Leonard Slatkin conducting the St Louis Symphony Orchestra
174,Hoagy Carmichael,Skylark,Composer: Carmichael/ Mercer
175,Johannes Brahms,The Adagio from the Cello Sonata No.2 in F Major.,Artist: Steven Isserlis
176,Sandie Shaw,Coconut Grove,"Composer: Sebasian, Yanovsky"
177,The Shangri-Las,Remember (Walkin&#x2019; in the Sand),Composer: Moreton
178,Guy Mitchell,She Wears Red Feathers and a Huly Huly Skirt,Composer: Bob Merrill
179,Georgie Fame,Barefootin&#x2019;,Composer: Robert Parker
180,The Beach Boys,Good Vibrations,Composer: Wilson/Love
181,Sandie Shaw (with Herbie Flowers  Roger Cook),Bananas,Composer:
182,The Beatles,Here Comes the Sun,Composer: George Harrison
183,Nuns and Monks of the Temple,Diamond Sutra,Composer: trad. Buddhist text produced in China in AD 868
184,Georges Brassens,Ballade des Dames du Temps de Jadis,Composer: G Brassens
185,Paco Ib&#xE1;&#xF1;ez,Mi Nina Se Fue a la Mare &#x2013; My Girl Went Off to the Sea,Composer: Frederico Garcia Lorca
186,The Beatles,Penny Lane,Composer: Lennon/McCartney
187,Piano Red,Right String Baby but the Wrong Yo-Yo,Composer: Finnell
188,Unknown,Chinese exercise music,Composer: unknown
189,Tom Lehrer,Wernher von Braun,Composer: Tom Lehrer
190,Giuseppe Verdi,Ella giammai m'am&#xF2; (from Don Carlos),Artist: Nicolai Ghiaurov (with the Berlin Philharmonic conducted by Herbert Von Karajan
191,Fabrizio De Andr&#xE9;,Bocca Di Rosa,Composer: Fabrizio De Andr&#xE9;
192,Giuseppe Verdi,The Overture to the third act of Verdi&#x2019;s La Traviata,"Artist: Arturo Toscanini &#x2013; conducting  the Orchestra of La Scala, Milan"
193,Luigi Boccherini,Minuet from the String Quintet in E,Artist: I Musici
194,Charles Trenet,Que reste-t-il do nos amours? What remains of our love,Composer: Charles Trenet/Leo Chauliac
195,Wolfgang Amadeus Mozart,L&#xE0; ci darem la mano (from Don Giovanni),Artist: Teresa Berganza (and Ruggero Raimondi) with the Paris Opera Orchestra conducted by Lorin Maazel
196,Lennie Niehaus,I Never Realised,Composer: Cole Porter
197,Joseph Haydn,The Adagio from Haydn&#x2019;s String Quartet No.2 in C Major,Artist: The  Amadeus Quartet
198,Giuseppe Verdi,Part of the duet  from the first act of Otello,"Artist: Placido Domingo &#x2013; and Mirella Freni with the opera of La Scala, Milan conducted  by Carlos Kleiber"
199,Marvin Gaye,Mercy Mercy Me,Composer: Marvin Gaye
200,Enrico Caruso,O Sole Mio,Composer: Di Capua
201,Small Faces,Itchycoo Park,Composer: Steve Marriott/Ronnie Lane
202,Leonard Cohen,Suzanne,Composer: L Cohen
203,Otis Redding,(Sittin&#x2019; On) The Dock of the Bay,Composer: Otis Redding/Steve Cropper
204,Richard Hawley,Open Up Your Door,Composer: Richard Hawley
205,Caetano Veloso,Cucurrucucu Paloma,Composer: Alberto Iglesias  Vicente Amigo
206,Miles Davis,The Doo Bop Song,"Composer: Miles Davis, Easy Mo Bee"
207,Lady Gaga,Bad Romance,""
208,The Specials,Gangsters,""
209,Joy Division,Love Will Tear Us Apart,""
210,Sex Pistols,Pretty Vacant,""
211,T. Rex,Ride a White Swan,""
212,Frank Sinatra,Fly Me To The Moon (In Other Words),""
213,Gorillaz,Clint Eastwood,""
214,Missy Elliott,Get Ur  Freak On,""
215,Pulp,Common People,""
216,Frank Crumit,Abdul Abulbul Amir,""
217,The Rolling Stones,The Last Time,""
218,Freddie Mercury  Montserrat Caball&#xE9;,Barcelona,""
219,The Kinks,Days,""
220,Jean Cocteau,La Toison d&#x2019;Or,""
221,John McCormack,Macushla,""
222,The Rolling Stones,Gimme Shelter,""
223,Johann Sebastian Bach,Suite for Solo Cello No. 1 in G major - Prelude,Soloist: Pablo Casals
224,Ian Dury and The Blockheads,Hit Me With Your Rhythm Stick,""
225,The Weather Girls,It's Raining Men,""
226,Wolfgang Amadeus Mozart,That Ungrateful Man Betrayed Me (from Don Giovanni),"Soloist: Kiri Te Kanawa
Orchestra: Orchestra of L&#x2019;Opera in Paris
Conductor: Lorin Maazel"
227,James Taylor,Shower the People,""
228,Johannes Eccard,When Mary to the Temple Went,Choir: The Choirs of St Peter&#x2019;s in Caversham  St John&#x2019;s in Mortimer - PRIVATE TAPE
229,Wolfgang Amadeus Mozart,The Lacrimosa,"Orchestra: The Academy of St Martin in the Fields  Chorus
Conductor: Sir Neville Marriner"
230,Wolfgang Amadeus Mozart,"II Andante, Concerto No.21 for Piano  Orchestra","Orchestra: English Chamber Orchestra
Conductor: Murray Perahia"
231,Johann Sebastian Bach,The opening of Brandenburg Concerto No. 3 in G,"Orchestra: The Academy of St Martin in the Fields
Conductor: Neville Marriner"
232,Felix Mendelssohn,Perpetuum Mobile in C,Soloist: Benjamin Frith
233,Benjamin Britten,Dawn,"Orchestra: Orchestra and Chorus of the Royal Opera House
Conductor: Bernard Haitink"
234,Robert Schumann,"Seit ich ihn gesehen - The moment II saw him, I was blind",Soloist: Dame Janet Baker
235,Ludwig van Beethoven,Piano Concerto No. 3 in C minor,"Soloist: Radu Lupu
Orchestra: Israel Philharmonic Orchestra
Conductor: Zubin Mehta"
236,Franz Schubert,The opening of the second movement of Piano Trio No.1 in B Flat,Orchestra: The Beaux Arts Trio
237,Johannes Brahms,Symphony No. 2 in D major,"Orchestra: Royal Concertgrbouw Orchestra
Conductor: Riccardo Chailly"
238,Johann Sebastian Bach,Brandenburg Concerto No. 5 In D Major,"Soloist: Christianne Jaccottet, Christine Sartoretti
Orchestra: W&#xFC;rttemberg Chamber Orchestra
Conductor: J&#xF6;rg Faerber"
239,Franz Schubert,"Heidenr&#xF6;slein, D257",Soloist: Teresa Stich-Randall
240,Edvard Grieg,"Concerto for Piano and Orchestra in A Minor, op. 54","Soloist: G&#xE9;za Anda
Orchestra: Berlin Philharmonic Orchestra
Conductor: Rafael Kubelik"
241,Wolfgang Amadeus Mozart,Sonata in C,Soloist: Sviatoslav Richter
242,Franz Schubert,Piano Quintet in A major 'Trout',"Soloist: Daniel Barenboim, Itzhak Perlman, Pinchas Zukerman, Jacqueline du Pre, Zubin Mehta"
243,The Beathovens,Summer&#x2019;s Child,""
244,Joseph Haydn,Piano Sonata in E flat major,Soloist: Marc-Andr&#xE9; Hamelin
245,Gerald Finzi,"Five Bagatelles, Op. 23a",Orchestra: Northern Sinfonia
246,Jerry Lee Lewis,Rockin&#x2019; My Life Away,""
247,Buffy Sainte-Marie,Little Wheel Spin and Spin,""
248,Dick Curless,A Tombstone Every Mile,""
249,"Sarah Walker, Henry Hereford and Guildford Choral Society",Antiphon,""
250,Andra Sparks and Nick Weldon,People We Once Knew,""
251,Nick Fox,Worst Fears,Artist: Lynda Hayes
252,Grateful Dead,Touch of Grey,""
253,Robert Schumann,Piano Concerto in A Minor,"Soloist: Fanny Davis
Orchestra: Royal Philharmonic Orchestra
Conductor: Ernest Ansermet"
254,Oscar Straus,La ronde de l'amour (from La Ronde),"Soloist: Anton Walbrook
Orchestra: Bohemian Orchestra"
255,Judy Collins,Liverpool Lullaby,""
256,George Frideric Handel,"Angels, ever bright and fair (from Theodora)",Soloist: Isobel Baillie
257,Harry Champion,Never Let Your Braces Dangle,""
258,Judy Garland,Over The Rainbow,""
259,Carolyn Hester,'Tis The Gift To Be Simple,""
260,Patrick Doyle,Corarsik,"Orchestra: The Hungarian Studio Orchestra
Conductor: Patrick Doyle"
261,Eric Thompson,"Florence, It&#x2019;s a Lovely Morning from the film version of the Magic Roundabout &#x2013; Dougal and the Blue Cat",""
262,Benjamin Britten,A Ceremony of Carols,"Choir: The Choir of King&#x2019;s College Cambridge
Conductor: Sir David Willcocks"
263,Inti-Illimani,Candidos,"Artist: John Williams, Paco Pena"
264,Tom Waits,Hold On,""
265,Us3  Rahsaan,Cantaloop,""
266,Richard Lumsden,Some of Your Planes,""
267,Joe Cocker,With a Little Help From My Friends,""
268,Van Morrison,Moondance,""
269,Johann Sebastian Bach,Brandenburg Concerto No. 2 in F major,"Orchestra: Ars Rediviva Orchestra
Conductor: Milan Munclinger"
270,Flanders and Swann,The First and Second Law of Thermodynamics,""
271,Labi Siffre,(Something Inside) So Strong,""
272,Henry Purcell,When I am laid in earth (Dido's Lament) (from Dido and Aeneas),Soloist: Sarah Connolly
273,Stevie Wonder,As,""
274,Basement Jaxx,Where&#x2019;s Your Head At?,""
275,Sting,Fragile,""
276,Fred Astaire,Let's Face The Music And Dance,""
277,Nelson Eddy,I Passed by Your Window,""
278,Fr&#xE9;d&#xE9;ric Chopin,Revolutionary Study,Soloist: Andrei Gavrilov
279,Claude Debussy,En bateau (from Petite suite),"Orchestra: Northern Sinfonia Orchestra
Conductor: Jean-Bernard Pommier"
280,John Williams,Concierto De Aranjuez,""
281,Giacomo Puccini,E Lucevan Le Stelle (from Tosca),Soloist: Harry Secombe
282,Pyotr Ilyich Tchaikovsky,Overture to The Sleeping Beauty,"Orchestra: The Saint Louis Symphony Orchestra
Conductor: Leonard Slatkin"
283,George Frideric Handel,Hallelujah Chorus (from Messiah),Choir: Winchester Cathedral Choir
284,Bob Dylan,It's All Over Now Baby Blue,""
285,John Dowland,Lachrimae,Soloist: Elizabeth Kenny
286,Annie Lennox  Aretha Franklin,Sisters Are Doin' It for Themselves,""
287,Roy Harris   the Pump and Pluck Band,The Man that Waters the Worker&#x2019;s Beer,""
288,Janis Joplin,Me and Bobby McGee,""
289,Johann Sebastian Bach,Aria (from Goldberg Variations),Soloist: Ralph Kirkpatrick
290,George Frideric Handel,"Endless Pleasure, Endless Love",Soloist: Kathleen Battle
291,Van Morrison,Queen of the Slipstream,""
292,Mungo Jerry,In the Summertime,""
293,Marvin Gaye,What's Going On?,""
294,The Cure,Inbetween Days,""
295,Sunhouse,Crazy on the Weekend,""
296,Radiohead,Fake Plastic Trees,""
297,Jim Reeves,Welcome to My World,""
298,Paul Robeson,Ol' Man River,""
299,Jackson Browne,Take It Easy,""
300,Bob Marley,"Get Up, Stand Up",""
301,Andrew Lloyd Webber,Pie Jesu (from Requiem),"Soloist: Sarah Brightman, Paul Miles-Kingston"
302,Luther Vandross,Dance With My Father,""
303,2Face Idibia,African Queen,""
304,Ludwig van Beethoven,"Violin Sonata No. 5 in F major, Op. 24 'Spring'","Soloist: Yehudi Menuhin, Hephzibah Menuhin"
305,&#xC9;dith Piaf,La Foule,""
306,Joseph Haydn,"Keyboard Trio in G Major,Op. 73/2 'Gypsy' -3rd movement",Orchestra: The Beaux Arts Trio
307,Flanders and Swann,Slow Train,""
308,Felicity Lott,An Die Music,Soloist: Graham Johnson
309,Malcolm Donaldson,Cochon Blues,""
310,David Bowie,Remembering Marie A,""
311,George Frideric Handel,"Recorder Sonata in F Major, Op. 1/11","Soloist: Michala Petri
Orchestra: The Academy of St Martin in the Fields Chamber Ensemble"
312,OutKast,Hey Ya,""
313,Don Henley,The Boys of Summer,""
314,Phil Collins,I Wish It Would Rain Down,""
315,Manu Chao,Me Gustas Tu - I Like You,""
316,Thomas Newman,Any Other Name,""
317,Dido,Here With Me,""
318,Spandau Ballet,Through the Barricades,""
319,Coldplay,Fix You,""
320,Jimi Hendrix,Voodoo Chile,""
321,Thomas Tallis,Spem In Alium,"Choir: Tallis Scholars
Conductor: Peter Phillips"
322,Richard Strauss,Marie Theres'! Hab' mir's gelobt (Act 3 Trio) (from Der Rosenkavalier),"Soloist: Christa Ludwig, Elisabeth Schwarzkopf  Teresa Stich-Randall"
323,Peggy Lee,Where Or When (from Babes In Arms),Artist: The Benny Goodman Sextet
324,Bob Dylan,Blowin' in the Wind,""
325,Franz Schubert,String Quintet in C Major,"Soloist: Mstislav Rostropovich
Orchestra: Emerson String Quartet"
326,William Shakespeare,Shall I Compare Thee to a Summers Day? (Sonnet 18),Performer: Judi Dench
327,Benjamin Britten,Four Sea Interludes from Peter Grimes - Dawn,"Orchestra: The Orchestra of the Royal Opera House, Convent Garden
Conductor: Benjamin Britten"
328,Hector Berlioz,Women's Chorus,Orchestra: Royal Opera House Orchestra and Chorus
329,Johannes Brahms,String Sextet No. 1 in B flat major,""
330,Bob Dylan,Mr Tambourine Man,""
331,The Beatles,Here Comes The Sun,""
332,Giuseppe Verdi,"Si, pel ciel (Oath duet) (from Otello)","Soloist: Mario Flippeschi, Tito Gobbi"
333,Sonja Kristina,Frank Mills (from Hair),""
334,Nicola Moscona  Robert Shaw,Mefistofele (Prologue),""
335,Carl Orff,O Fortuna (from Carmina Burana),"Soloist: Lucia Popp, John Van Kerstern, Hermann Prey
Orchestra: Munich Radio Orchestra
Conductor: Kurt Eichhorn"
336,Camille Saint-Sa&#xEB;ns,The Swan (from Carnival of the Animals),"Soloist: Pascal Rog&#xE9; , Cristina Ortiz
Orchestra: London Sinfonietta
Conductor: Charles Dutoit"
337,Dinah Washington,Smoke Gets in Your Eyes,""
338,Johann Pachelbel,Canon in D major,"Soloist: Leonard Slatkin
Orchestra: The Saint Louis Symphony Orchestra"
339,Elton John,I'm Still Standing,""
340,Lon Satton  Ray Shell,I am the Starlight,""
