1,,
168,"Seamus Heaney","The collected works by"
169,"John Donne","Collected Poems by"
170,"G M Trevelyan","History of England by"
171,"Virginia Woolf","Moments of Being by"
172,"Emily Dickinson","Collection of Poems by"
173,"John Carey","The Faber Book of Reportage by"
174,"Marcel Proust","A La Recherche de Temps Perdu  by"
175,"Charles Darwin","Origin of Species by"
176,,"Ordnance Survey map of the world"
177,,"The Book of Kells"
178,"Walter de la Mare","Come Hither - An Anthology by"
179,Virgil,"Aeneid by"
180,,"The History and Creation of a Japanese Sand Garden"
181,"F. Scott Fitzgerald","Tender Is The Night by"
182,"Stephen Hawking","A Brief History of Time by"
183,"Anton Chekhov","The collected works by"
184,"John Dankworth","The Jazz Revolution by"
185,"Arthur Koestler","The Sleep Walkers by"
186,"William Louis Wheeler","The Medical Care of Merchant Seamen by"
187,"Robert Baden-Powell","Scouting For Boys by"
188,"Norman Vincent Peale","The Power of Positive Thinking by"
189,,"A photograph album"
190,"Giuseppe di Lampedusa","The Leopard by"
191,Mozart,"Complete score of Fidelio by"
192,Beethoven,"Score of the opera Fidelio by"
193,"Freya Stark","Traveller's Prelude by"
194,"J M Roberts","The History of the World by"
195,"Edith Sitwell","The Atlantic book of British and American Poetry  by"
196,"Vita Sackville-West","Another World Than This by"
197,"Jay LandesmanJay Landesman","Rebel Without Applause by 
Jay Walking by"
198,"Noel Coward","Diary by"
199,"Oscar Wilde","Complete works by"
200,"Randolph Stow","Tourmaline by"
201,"Bob Monkhouse","Crying With Laughter by"
202,"Leo Tolstoy","A title, in Russian and English, by"
203,,"A culinary book"
204,"Nancy Mitford","The Pursuit of Love by"
205,,"Arabian Nights (1000 and One Nights)"
206,"Ralph Waldo Trine","In Tune With The Infinite: Fullness of Peace Power by"
207,Hillier,"Hillier's Dictionary of Plants by"
208,"Peter Ustinov","A title by"
209,"John Steinbeck","Short Stories  by"
210,"Francis Child","English  Scottish Ballads by"
211,"Gabriel Garcia Marquez","One Hundred Years of Solitude by"
212,"Johan H Huizinga","The Waning of the Middle Ages by"
213,Scarlatti,"All the sonatas by"
214,,Encyclopaedia
215,"M Horace Hayes","Veterinary Notes For Horse Owners by"
216,"Tom Sharpe","Wilt by"
217,"Daniel Defoe","Robinson Crusoe by"
218,"Harold Pinter","Compendium of Plays by"
219,"Henry James","The Golden Bowl by"
220,"V S Naipaul","A House For Mr Biswas by"
221,,"Atlas of the Third World"
222,"Honore de Balzac","Fairy Stories by"
223,"T S Eliot","Four Quartets by"
224,"Arthur Koestler","The Act of Creation by"
225,"Helen Gardiner","The Oxford Book of English Verse by"
226,"Robert Graves","Greek Myths by"
227,,"Recent editions of magazines, e.g. Vanity Fair; Vogue"
228,"Geoffrey Chaucer","Canterbury Tales by"
229,"Kahlil Gibran","The Prophet by"
230,"Duc de Saint-Simon","Memoirs by"
231,"Dr Roy Strong","A Celebration of Gardens by"
232,,"The Oxford Dictionary of Quotations"
233,,"A Thousand and One Nights"
234,,"Reader's Digest"
235,"Mark Twain","Huckleberry Finn by"
236,,"Photograph album"
237,,"Norton's Star Atlas"
238,,"All correspondence between her and her mother"
239,"Anne Frank","Diary by"
240,"Vikram Seth","A Suitable Boy by"
241,"Naomi Lewis","Messages - poetry by"
242,,"Faber Book of Religious Verse"
243,"Dan Millman","Way of the Peaceful Warrior by"
244,"Samuel Pepys","Diary by"
245,"Stephen Runciman","History of the Crusades by"
246,"Richard Elman","The New Oxford Book of American Verse by"
247,"Henry Handel Richardson","Maurice Guest by"
248,"T H White","The Once and Future King by"
249,"W B Yeats","Complete Works by"
250,"Sigmund Freud","Complete Works by"
251,,"Geometry Tutor"
252,"William Shakespeare","Complete works in German by 
Russian dictionary"
253,"Sir Winston Churchill","History of the English-Speaking Peoples by"
254,Chateaubriand,"Memories From Beyond The Grave by"
255,"Kingsley Amis","Lucky Jim by"
256,"Charles Dickens","Oliver Twist by"
257,"T S Eliot","The Four Quartets by"
258,"John Donne","Poems For Joy  Sermons For Solace by"
259,,"SAS Survival Manual"
260,,"A DIY manual"
261,"Robert Heinlein","Glory Road by"
262,,"A collection of poems"
263,"W B Yeats","Poetry by"
264,,"A book of American history"
265,,"History of the United States"
266,"Kenneth Rose","George V by"
267,,"Who's Who In The Theatre"
268,"William Morris","The collected works by"
269,,"A book about Hollywood"
270,,"A History of Great Britain"
271,"Margaret Mitchell","Gone With The Wind by"
272,"Thomas Hardy","Mayor of Casterbridge by"
273,,"Teach Yourself Bridge"
274,,"A bound copy of the Spectator magazines"
275,"Anthony Trollope","Barchester Novels by"
276,,"A do-it-yourself manual"
277,,"Do-it-yourself manual"
278,"Gabriel Garcia Marquez","Love in the Time of Cholera by"
279,,"I Ching"
280,,"Teach yourself physics"
281,"Marcel Proust","Books by"
282,,"Dictionary of National Biography"
283,"Herman Melville","Moby Dick by"
284,,"A book of edible fruits and vegetables"
285,"Oscar Wilde","The Picture of Dorian Gray by"
286,,"Teach-yourself manual of the principal foreign languages"
287,"Josef von Sternberg","Fun in a Chinese Laundry by"
288,,"The I Ching"
289,"Thora Hird","Scene  Hird by"
290,,"History of the world"
291,"Charlotte Bronte","Jane Eyre by"
292,,"Encyclopaedia Britannica"
293,,"The scores of all music chosen in a bound volume"
294,"Agatha Christie","Why Didn't They Ask Evans? by"
295,"Thomas Hardy","Tess of the D'Urbervilles by"
296,"Anthony Trollope","The Last Chronicle of Barset by"
297,,"The Oxford English Dictionary"
298,Aesop,"Fables by"
299,"Lewis Carroll","Alice in Wonderland by"
300,"Gareth Jones","The Disinherited by"
301,,"A collection of short stories"
302,"St Francis de Sales","Introduction to the Devout Life by"
303,,Filofax
304,"Johann Wyss","The Swiss Family Robinson by"
305,"Pat Conroy","Prince of Tides by"
306,,"The biggest atlas in the world"
307,"Dr Jacob Bronowski","The Ascent of Man by"
308,"Keith Floyd","Floyd on Fish by"
309,"Lewis Carroll","Alice In Wonderland by"
310,"Sir Winston Churchill","The Second World War by"
311,"Elizabeth David","French Provincial Cooking by"
312,"Swami Muktananda","Where Are You Going? by"
313,"Jack Higgins","The Eagle Has Landed by"
314,"James Kavanaugh","Will You Be My Friend? by"
315,"Charles Dickens","The complete works by"
316,"Wilfred Owen","Autobiography by"
317,"F. Scott Fitzgerald","The Great Gatsby by"
318,"Ayn Rand","Atlas Shrugged by"
319,"Virginia Woolf","Letters by"
320,"Sam Shepard","Hawk Moon by"
321,"Jane Austen","The collected works by"
322,,Dictionary
323,,"The complete Andy Capp"
324,,"The Oxford Book of English Verse"
325,"Paul Verlaine","Poetry by"
326,"John Fowles","The Magus by"
327,,"Her own autobiography"
328,"Aleksandr Pushkin","Poetry by"
329,"William Wordsworth","The collected works by"
330,"Anthony Burgess","Language Made Plain by"
331,Herodotus,"Histories by"
332,"Rudyard Kipling","Indian Tales by"
333,,"Dictionary Hexalingual thesaurus"
334,"Anthony Wood","The five-volume works by"
335,"Rudyard Kipling","Kim by"
336,,"Blank paper"
337,"Mrs Beeton","Household Management by"
338,"Kathleen Winsor","Forever Amber by"
339,,"The World Encyclopaedia of Cookery"
340,,"True funny stories in German"
341,"Leo Tolstoy","Anna Karenina by"
342,,"The Bhagavad-Gita"
343,"Marquise de Sevigne","Letters by"
344,"Hector BerliozHugh Johnson","Books by 
Cookery book by"
345,"Jane Austen","Persuasion by"
346,"Dama Pada","Buddhist scripture by"
347,"Saint Therese of Lisieux","Autobiography by"
348,,"Illustrated dictionary"
349,"Arthur Quiller-Couch","The Oxford Book of English Verse by"
350,"Edward Gibbon","The History of the Decline and Fall of the Roman Empire by"
351,"Moss Hart","Act One by"
352,"Dante Alighieri","Inferno by"
353,"Louis De Rouvroy","Memoirs by"
354,"Diana Dors","Autobiography by"
355,"P G Wodehouse","Novels by"
356,"Virginia Woolf","Diaries  by"
357,,"French language course"
358,"George Kelly","Plays by"
359,,"Dictionary of quotations"
360,"Johann Wolfgang Goethe","Collected works  by"
361,"William Durant","The Story of Civilization by"
362,"Rosamond Lehmann","The Weather in the Streets by"
363,"Dante Alighieri","Divine Comedy by"
364,"Barbara Woodhouse","Talking To Animals by"
365,"e e cummings","Poetry  by"
366,,"The Salvation Army Songbook"
367,,"Survival manual"
368,,"Italian Touring Atlas of the World"
369,"Hermann Hesse","Siddhartha by"
370,"Simone de Beauvoir","The Second Sex by"
371,"Thomas HardyThomas Hardy","Tess of the D'Urbervilles by 
Jude the Obscure by"
372,"Frederick Forsyth","The Day of the Jackal by"
373,"Neville Williams","The Penguin Chronology of the Modern World by"
374,,"Book about growing flowers and vegetables on a desert island"
375,,"History of the whole world"
376,"John Cheever","Collected Short Stories  by"
377,"Antoine de Saint-Exupery","The Little Prince by"
378,,"Single-volume encyclopaedia"
379,"Kenneth Clark","Civilisation by"
380,Malford,"The Nonsense of Dying by"
381,"Geoffrey Grigson","Notes from an Odd Country by"
382,"Queen Victoria","Letters by"
383,"Raine Maria Rilke","Poetry in Spanish  German by"
384,"Agnes Smedley","Daughter of the Earth by"
385,"George Bernard Shaw","Plays and Prefaces by"
386,,"Guide to boat building"
387,"Compton MacKenzie","The Four Winds of Love by"
388,"Rose Macaulay","Orphan Island by"
389,"B K S Iyengar","Light on Yoga by"
390,,"Volume on physics"
391,"James Woodforde","The Diary of a Country Parson 1758-1802 by"
392,"Margaret Mitchell","Gone With The Wind (in Italian) by"
393,"A.A. MilneA.A. Milne","Now We Are Six by 
When We Were Very Young by"
394,,"Thick blank book and a pen"
395,"Mary Strong","Letters of the Scattered Brotherhood by"
396,"Emmet Fox","Around The Year With Emmet Fox by"
397,Roget,"Thesaurus by"
398,"Henry W Fowler","Fowler's Modern English Usage by"
399,"Frank Herbert","Dune by"
400,,"Dictionary of Quotations"
401,"Victor Sperandeo","Pacific Cookbook by"
402,"Enid Bagnold","Autobiography by"
403,,"A great tome on the law"
404,"Sigrid Undset","Kristin Lauransdatter by"
405,"Anthony Powell","Dance to the Music of Time by"
406,"Anthony Trollope","Novels by"
407,,"Astronomy book"
408,"Charles Kidd","Debrett's Peerage by"
409,"Albert Camus","Collected stories by"
410,"Countess Elizabeth Longford","Victoria RI by"
411,"Charles Dickens","The Pickwick Papers by"
412,"H G Wells","The Outline of History by"
413,"Charles Schulz","Snoopy Dog by"
414,"Dr Thor Heyerdahl","The Kon-Tiki Expedition by"
415,,"Volume on Animal Communication"
416,"Charles Dickens","The collected works by"
417,"Johann Wolfgang Goethe","Faust by"
418,"Mildred Newman","How to be Your Own Best Friend by"
419,"Christopher Isherwood","Bhagavad-Gita by"
420,,"Brewer's Dictionary of Phrase and Fable"
421,"Jean Plaidy","Novels by"
422,"Carl Giles","Book of cartoons by"
423,"Michel de Montaigne","The collected works by"
424,,"Volume of Colour Reproductions of Paintings"
425,,"Anthology of Poetry"
426,"Margaret Mitchell","Gone With the Wind by"
427,"Rev Francis Kilvert","Reverend Francis Kilvert, Diary 1870-1879 by"
428,,"Cookery book"
429,"Julia Trevelyan Oman","Elizabeth R by"
430,,"Illustrated Herbal"
431,"Sir Keith Feiling","History of England by"
432,"James Mitchener","Novels by"
433,,"Volumes on astronomy and astrology"
434,"Mary Baker Eddy","Science and Health, with a Key to the Scriptures by"
435,,"Cookery Encyclopaedia"
436,"Mario Puzo","The Godfather by"
437,"Oscar Wilde","The complete works by"
438,"Ernest Holmes","The Science of Mind by"
439,,"Primary Instruction in all languages"
440,,"Law study course"
441,"Leo Slezak","Works by"
442,"Penelope Mortimer","The Pumpkin Eater by"
443,,"Oxford Dictionary of Quotations"
444,,"Illustrated book on gardening"
445,"George Bernard Shaw","The collected works by"
446,,"Encyclopaedia Britannica 1911 Edition"
447,"Louise Saunders","The Knave of Hearts by"
448,"Anatole France","Le Crime de Sylvestre Bonnard by"
449,"James Thurber","The Thurber Carnival by"
450,,"Anthology of English Verse"
451,"Cornelia Otis Skinner","Our Hearts Were Young and Gay by"
452,"Pyotr Ilyich Tchaikovsky","The scores of the symphonies by"
453,"Robert Baden-Powell","Scouting for Boys by"
454,,"Family photograph album"
455,,"Herr, Hier Bin Ich (Prayers of Life)"
456,"Beatrix Potter","Works by"
457,"D'Arcy Thompson","Growth and Form by"
458,,"Book on desert island cookery"
459,"Alice Bailey","White Magic by"
460,"Mary Baker Eddy","Science and Health, With Key to the Scriptures by"
461,"Anton Chekhov","Three Sisters by"
462,,"Volumes of her autobiography"
463,"Robert Stroud","The Birdman of Alcatraz by"
464,,"Enquire Within Upon Everything"
465,,"Larousse Gastronomique"
466,"Lord A P Wavell","Other Men's Flowers by"
467,,"Anglo-French dictionary"
468,Homer,"Bi-lingual edition by"
469,,"Blank pages and pencils"
470,,"Selection of English poetry"
471,,"Textbook on anthropology"
472,"Frances Hodgson Burnett","The Secret Garden by"
473,Plato,"Dialogues by"
474,"Charles DickensCharles DickensCharles Dickens","The Pickwick Papers by 
Bleak House by 
Martin Chuzzlewit by"
475,"Stella Gibbons","Cold Comfort Farm by"
476,"Gabriel Chevallier","Clochemerle by"
477,"Peter OuspenskyPeter Ouspensky","Search for the Miraculous by 
New Model of the Universe by"
478,"Harold Getty","The Raft Book by"
479,"Sir Winston Churchill","Reminiscences of early life by"
480,"Paul Gallico","The Snow Goose by"
481,"Charles Dickens","Her favourite novels by"
482,"T S Eliot","Poetry by"
483,"Marguerite Young","Mrs Mackintosh My Darling by"
484,"William Wordsworth","Complete works by"
485,,"Whitaker's Almanack"
486,"Pope John XXIII","The Diary of a Soul by"
487,,"Illustrated book on Greek mythology"
488,"Marguerite Steen","The Sun is My Undoing by"
489,"Jane Austen","Collected novels by"
490,,"Notebook and pencil"
491,"Marguerite Yourcenar","Hadrian's Memoirs by"
492,,"Who's Who"
493,,"Anthology of world poetry"
494,"Konstantin PaustovskyKonstantin Paustovsky","The Telegram by 
A Story of Life by"
495,,"Manual of astronomy plus a bookmark with a photograph of Michelangelo's Pieta"
496,"MacNeill Dixon","The Human Situation by"
497,,"Personal anthology of poetry"
498,,"Book with blank pages and a pen"
499,,"Biography of Bette Davis"
500,Laozi,"A Way of Life by"
501,"Gerald Durrell","My Family and Other Animals by"
502,"Ian Fleming","James Bond novels by"
503,"Herbert Tarr","The Conversion of Charlie Cohen by"
504,,Atlas
505,,"Vaughan Haddock's Book of Modern Verse"
506,"Ralph Waldo Emerson","Essays by"
507,,"English Dictionary"
508,,"Reproductions of her favourite pictures"
509,"John Galsworthy","The Forsyte Saga by"
510,"Oscar Wilde","The Happy Prince and Other Tales by"
511,,"Compilation of works of philosophy"
512,,"Book on mathematics"
513,"Johann Wolfgang Goethe","Plays by"
514,"Sir Winston Churchill","History of the English Speaking Peoples by"
515,"Ogden Nash","Poems by"
516,"John Osborne","Collected plays by"
517,"Billy WrightHendrik van LoonH G Wells","Book of Soccer by 
The Story of Mankind by 
The Science of Life by"
518,Sheridan,"The plays by"
519,,"Book of Common Prayer"
520,"J.D. Salinger","The Catcher in the Rye by"
521,"Norman Collins","London Belongs to Me by"
522,"John Milton","Paradise Lost by"
523,"Leo Tolstoy","What Then Must We Do by"
524,"Otto Goldschmidt","Memoirs of Jenny Lind by"
525,,"The Week-End Book"
526,Fougasse,"Drawings by"
527,"Kenneth Grahame","The Wind in the Willows by"
528,"Jean Racine","Plays by"
529,"James Frazer","The Golden Bough by"
530,,"Her husband's handwritten limericks"
531,"Johann Wolfgang Goethe","A philosophical work by"
532,,"French cookery book"
533,"W. Somerset Maugham","A novel by"
534,"Eartha Kitt","Autobiography by"
535,,"Large book of short stories"
536,"Talbot Baines","Fifth Form of St Dominic's by"
537,,Bible
538,"Gustave Flaubert","Madam Bovary by"
539,,"Mediterranean cookbook"
540,"Dr Thor Heyerdahl","Kontiki by"
541,"Thomas &#xE0; Kempis","Imitation of Christ by"
542,"Kurt Vonnegut","Slaughterhouse-Five by"
543,"Jack Kerouac","On the Road by"
544,"Sholem Aleichem","Complete Works by"
545,"Emile Zola","Germinal by"
546,"Pauline Prescott","Smile Though Your Heart Is Breaking by"
547,,"A guide to learning the piano"
548,"W B Lord","Shifts and Expedients of Camp Life by"
549,"W B Lord","Shifts and Expedients of Camp Life  by"
550,"William Barry Lord","Shifts and Expedients of Camp Life by"
551,,"Tang shi sanbai shou (Three Hundred Tang Poems)"
552,,"A big atlas"
553,"P G Wodehouse","The collected works by"
554,"P G Wodehouse","His favourite book by"
555,"John David Jackson","Classical Electrodynamics by"
556,"Anthony Trollope","The complete works  by"
557,,"The Talmud"
558,"Daniel Defoe","Robinson Crusoe  by"
559,"Robert Hardy  Matthew Strickland","The Great Warbow by"
560,,"French dictionary"
561,"Wole Soyinka","The Complete Works by"
562,"Sir Arthur Conan Doyle","Complete Sherlock Holmes by"
563,,"The biggest possible Encyclopedia"
564,"Fyodor Dostoyevsky","The Brothers Karamazov  by"
565,,Thesaurus
566,,"A photographic album with pictures of his family"
567,"Spike Milligan","Puckoon by"
568,"S J Perelman","The Most of S.J.Perelman by"
569,"Woody Allen","The Complete Prose by Woody Allen by"
570,Saki,"The complete works of Saki by"
571,,"A tropical recipe book"
572,"Cormac McCarthy","All the Pretty Horses by"
573,"August Wilson","The complete works of August Wilson by"
574,"Andy Ripley","Ripley&#x2019;s World by"
575,"Christopher Ricks","The Oxford Book of English Verse  by"
576,"Doris Kearns Goodwin","Team of Rivals: The Political Genius of Abraham Lincoln by"
577,"Robert Burns","The complete works of Robert Burns by"
578,"Anton Chekhov","The Complete plays of Anton Chekhov by"
579,"W. Somerset Maugham","A volume of Somerset Maugham's short stories by"
580,"Lars Svensson","A Collins Bird book      by"
581,"Nigel Norman","Book by his father:   Verses 1911 - 1943 by"
582,"Evelyn Waugh","Scoop by"
583,"Kurt Vonnegut","Breakfast of Champions  by"
584,"Roy Fisher","The Long and the Short of it: Poems 1955-2005 by"
585,Confucius,"The Analects of Confucius  by"
586,"Naguib Mahfouz","The Cairo Trilogy   by"
587,"Robert Tressell","The Ragged Trousered Philanthropists by"
588,"Lawrence James","The Rise and Fall of the British Empire by"
589,"Edward Bulwer-Lytton","Zanoni by"
590,"P G Wodehouse","The complete works by"
591,,Matchbook
592,,"The book of Alcoholics Anonymous"
593,,"Book of poems"
594,,"Teach yourself French"
595,"George Mikes","How to be an Alien by"
596,"Dylan Thomas","Collected works by"
597,"Charles Darwin","The Voyage of the Beagle  by"
598,"Ken Follet","The Pillars of the Earth by"
599,"Dave Pelz","Short Game of Golf  by"
600,"Sir Roger Penrose","The Road to Reality  by"
601,"Jonathan Harvey","Beautiful Thing  by"
602,"Robert Louis Stevenson","Treasure Island by"
603,"Don DeLillo","Libra  by"
604,"Sir George Grove","Operatic Dictionary of Music by"
605,"Marcel Proust","A La Recherche Du Temps Perdu  by"
606,"Ayn Rand","The Fountainhead by"
607,"Benny Green","Such Sweet Thunder: Benny Green on Jazz by"
608,"Dorothy Parker","The Penguin Dorothy Parker by"
609,"Oscar Wilde","The Complete Works  by"
610,Wisden,"The collected cricketers' almanac by"
611,,"Photo album of family  friends"
612,"Charles Chilton","Journey into Space by"
613,"Richmal Crompton","Audiobook of Martin Jarvis reading Just William by"
614,"Laurence Sterne","The Life and Opinions of Tristram Shandy by"
615,"Bear Grylls","Man vs Wild - Survival Techniques from the Most Dangerous Places on Earth by"
616,"Victor Hugo","The works by"
617,"Sybille Bedford","A Legacy  by"
618,"Evelyn Waugh","Decline and Fall  by"
619,"Dionysius Lardner","The Cabinet Cyclopedia by"
620,,"The Reader's Digest Complete Do It Yourself Manual"
621,"Patrick O'Brien","Post Captain in the Aubrey/Maturin series  by"
622,"John Hayward","The Faber book of English verse by"
623,"Brian Keenan","An Evil Cradling  by"
624,,"The Melbourne Street Directory"
625,"Max Beerbohm","The collected works by"
626,"CK Scott Moncrieff (transl.)","Remembrance of Things Past (Proust) by"
627,"David Diop","Coups de Pilon  by"
628,"Suzanna Clarke","Jonathan Strange and Mr Norrell by"
629,,"Encyclop&#xE6;dia Britannica"
630,"George Bernard Shaw","The plays by"
631,"Brigitte Lardinois","Magnum Magnum by"
632,"Nelson Mandela","Long Walk to Freedom  by"
633,,"The Air Publication 1234 (RAF Manual)"
634,"Hilaire Belloc","Cautionary Tales by"
635,"James Lawton","Collected writings by"
636,,"Decent translation of the Koran"
637,"Hermann Hesse","The Glass Bead Game by"
638,"Peter Ackroyd","Blake by"
639,"Iain Banks","The complete works by"
640,"Alice Munro","Selected Stories by"
641,"Dante Alighieri","The Divine Comedy (with translation) by"
642,"Douglas Adams","The Hitchhiker's Guide to the Galaxy by"
